designation,family,mixture_type,safety_class_seed,catalog_status,application_tags,notes,selectable,verification_status
R11,CFC,pure,A1,legacy,industrial_chillers,Refrigerante histórico; mantener para identificación de equipos antiguos.,1,seed_needs_final_source_verification
R12,CFC,pure,A1,legacy,domestic|commercial|transport,Histórico/legado.,1,seed_needs_final_source_verification
R13,CFC,pure,A1,legacy,ultra_low_temperature,"Histórico, muy baja temperatura.",1,seed_needs_final_source_verification
R22,HCFC,pure,A1,legacy,air_conditioning|commercial|industrial,Muy extendido en instalaciones antiguas.,1,seed_needs_final_source_verification
R23,HFC,pure,A1,current_specialty,ultra_low_temperature|cascade,Aplicaciones de muy baja temperatura/cascada.,1,seed_needs_final_source_verification
R32,HFC,pure,A2L,current,air_conditioning|heat_pump,Climatización y bombas de calor.,1,seed_needs_final_source_verification
R123,HCFC,pure,B1,legacy,industrial_chillers,Histórico en chillers de baja presión; sujeto a regulación.,1,seed_needs_final_source_verification
R124,HCFC,pure,A1,legacy,industrial|legacy_blends,Componente y refrigerante histórico.,1,seed_needs_final_source_verification
R125,HFC,pure,A1,component,blend_component,Principalmente componente de mezclas.,1,seed_needs_final_source_verification
R134a,HFC,pure,A1,current_legacy_transition,domestic|commercial|transport|chillers|industrial,Muy extendido; sujeto a transición regulatoria según aplicación.,1,seed_needs_final_source_verification
R143a,HFC,pure,A2,component,blend_component,Principalmente componente de mezclas.,1,seed_needs_final_source_verification
R152a,HFC,pure,A2,current_specialty,commercial|industrial|blend_component,Inflamable; aplicaciones específicas y componente de mezclas.,1,seed_needs_final_source_verification
R227ea,HFC,pure,A1,specialty,industrial|blend_component,Aplicaciones especiales y componente de mezclas.,1,seed_needs_final_source_verification
R236fa,HFC,pure,A1,specialty,industrial|high_temperature,Aplicaciones especiales.,1,seed_needs_final_source_verification
R245fa,HFC,pure,B1,specialty,industrial|high_temperature|organic_rankine,Aplicaciones especiales/alta temperatura.,1,seed_needs_final_source_verification
R401A,HCFC/HFC blend,zeotropic,,legacy,commercial,Retrofit histórico de R12.,1,seed_needs_final_source_verification
R401B,HCFC/HFC blend,zeotropic,,legacy,commercial,Retrofit histórico de R12.,1,seed_needs_final_source_verification
R402A,HCFC/HFC/HC blend,zeotropic,,legacy,commercial|low_temperature,Retrofit histórico.,1,seed_needs_final_source_verification
R402B,HCFC/HFC/HC blend,zeotropic,,legacy,commercial|low_temperature,Retrofit histórico.,1,seed_needs_final_source_verification
